new entry "Summon_PIP_Fishing_Swashbuckler"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "Ability" "Death"
data "Tier" "Adept"
data "ActionPoints" "2"
data "Cooldown" "7"
data "Lifetime" "5"
data "SummonLevel" "-1"
data "MemorizationRequirements" "Necromancy 2;PIP_Fishermancy 1"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Template" "c720f925-92e6-4c3e-9221-a24dcbc074a1"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "Skill_Decay_RaiseBonePile"
data "DisplayName" "Summon_PIP_Fishing_Swashbuckler_DisplayName"
data "DisplayNameRef" "|Summon swashbuckler|"
data "Description" "Summon_PIP_Fishing_Swashbuckler_Description"
data "DescriptionRef" "|Summon a swashbuckler.|"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Voodoo_Prepare_Totem_BonePile_Root_01,KeepRot,Detach:Dummy_Root;RS3_FX_Skills_Voodoo_Prepare_Totem_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Voodoo_Cast_Summon_Totem_Decay_BonePile_Root_01,KeepRot:Dummy_Root;RS3_FX_Skills_Voodoo_Cast_Summon_Totem_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Decay_02"
data "TargetEffect" "RS3_FX_Skills_Voodoo_Totem_Target_BonePile_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"
