new entry "Target_PIP_Fishing_Sashimi"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Rogue"
data "Tier" "Adept"
data "Requirement" "DaggerWeapon"
data "ActionPoints" "2"
data "Cooldown" "10"
data "Damage Multiplier" "150"
data "DamageType" "Water"
data "SkillProperties" "PIP_FISHING_TRY_SASHIMI,100,0;DISARMED,100,1"
data "TargetRadius" "1"
data "AddWeaponRange" "Yes"
data "IsMelee" "Yes"
data "DeathType" "Explode"
data "MemorizationRequirements" "RogueLore 2;PIP_Fishermancy 1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "3"
data "Magic Cost" "2"
data "TargetConditions" "Character;NonSelf"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "Skill_Rogue_MortalBlow"
data "DisplayName" "Target_PIP_Fishing_Sashimi_DisplayName"
data "DisplayNameRef" "Prepare Sashimi"
data "Description" "Target_PIP_Fishing_Sashimi_Description"
data "DescriptionRef" "|Prepare sashimi out of the target.|"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Void_Prepare_Weapon_Hand_03:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Skills_Void_Prepare_Weapon_Root_01,Detach"
data "CastAnimation" "skill_attack_power_01_cast"
data "CastSelfAnimation" "skill_attack_power_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Void_Cast_Power Attack_Root_01;RS3_FX_Skills_Void_Cast_Power Attack_Cast_Root_01:root:cast;RS3_FX_Skills_Void_Cast_Power Attack_Dummy_01:Dummy_FX_01,Dummy_FX_01"
data "TargetEffect" "RS3_FX_Skills_Void_Power_Attack_Impact_01,FaceSource:Dummy_BodyFX:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Void_Power_Attack_Impact_01,FaceSource:Dummy_BodyFX:cast"
data "Stealth Damage Multiplier" "200"
data "CycleConditions" "Enemy;!Dead"
