new entry "PIP_FISHING_WITH_THE_CURRENT"
type "StatusData"
data "StatusType" "ACTIVE_DEFENSE"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "PIP_FISHING_WITH_THE_CURRENT_DisplayName"
data "DisplayNameRef" "With the Current"
data "Description" "PIP_FISHING_WITH_THE_CURRENT_Description"
data "DescriptionRef" "|Approaching hostiles will be blasted with fish.|"
data "Icon" "Skill_Fire_FlamingTongues"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_FlamingTongues_01"
data "StatsId" "Stats_FlamingTongues"
data "StackId" "Stack_FlamingTongues"
data "TargetEffect" "PIP_FX_Status_WithTheCurrents_Target"
data "Projectile" "Projectile_PIP_Fishing_WithTheCurrents_ActiveDefense"
data "Radius" "4"
data "Charges" "999"
data "TargetConditions" "Character;Enemy;NonSelf"
