
new entry "PIP_FISHING_SEABURN"
type "StatusData"
data "StatusType" "DAMAGE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "PIP_FISHING_SEABURN_DisplayName"
data "DisplayNameRef" "Seaburn"
data "Description" "PIP_FISHING_SEABURN_Description"
data "DescriptionRef" "Deals [1] damage per turn."
data "DescriptionParams" "Damage"
data "Icon" "statIcons_Water"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_Wet_01"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "No"
data "MaterialFadeAmount" "2000"
data "MaterialOverlayOffset" "10000"
data "SavingThrow" "MagicArmor"
data "ImmuneFlag" "WetImmunity"
data "StatsId" "Stats_PIP_Fishing_Seaburn"
data "StackId" "Stack_PIP_Fishing_Seaburn"
data "DamageEvent" "OnTurn"
data "DamageStats" "PIP_Damage_Seaburn"
data "DeathType" "FrozenShatter"
data "DamageCharacters" "Yes"
data "DamageItems" "No"
data "DamageTorches" "Yes"
data "PermanentOnTorch" "No"
data "SpawnBlood" "No"
